1, phenomena:abandoned_mansion, HEADING, header:ignore, 0, 0, 0
2, awesomedungeon:abandoned_oak_palace, HEADING, header:ignore, 0, 0, 0
3, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
4, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 10, 1, 1
5, kellomod:abandoned_watchtower, HEADING, header:ignore, 0, 0, 0
6, hopo:acacia_mineshaft, HEADING, header:ignore, 0, 0, 0
7, graveyard:altar, HEADING, header:ignore, 0, 0, 0
8, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
9, cataclysm:ancient_factory, HEADING, header:ignore, 0, 0, 0
10, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
11, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
12, totw_modded:badlands, HEADING, header:ignore, 0, 0, 0
13, hopo:bamboo_mineshaft, HEADING, header:ignore, 0, 0, 0
14, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
15, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
16, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
17, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
18, awesomedungeon:better_default_jungle_temple, HEADING, header:ignore, 0, 0, 0
19, hopo:birch_mineshaft, HEADING, header:ignore, 0, 0, 0
20, awesomedungeonocean:brigantine, HEADING, header:ignore, 0, 0, 0
21, kellomod:buried_bastion, HEADING, header:ignore, 0, 0, 0
22, kellomod:buried_bastion, MONSTER, minecraft:piglin_brute, 10, 1, 6
23, kellomod:buried_bastion, MONSTER, minecraft:piglin, 10, 1, 10
24, kellomod:buried_shipwreck, HEADING, header:ignore, 0, 0, 0
25, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
26, cataclysm:burning_arena, HEADING, header:ignore, 0, 0, 0
27, stellarity:campsite, HEADING, header:ignore, 0, 0, 0
28, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
29, stellarity:chapel_of_light, HEADING, header:ignore, 0, 0, 0
30, hopo:cherry_mineshaft, HEADING, header:ignore, 0, 0, 0
31, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
32, kellomod:collapsed_end_city, HEADING, header:ignore, 0, 0, 0
33, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
34, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
35, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
36, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
37, nyctocosm:crypts/dream, HEADING, header:ignore, 0, 0, 0
38, hopo:dark_oak_mineshaft, HEADING, header:ignore, 0, 0, 0
39, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
40, phenomena:deepslate_hill, HEADING, header:ignore, 0, 0, 0
41, hopo:deepslate_mineshaft, HEADING, header:ignore, 0, 0, 0
42, totw_modded:derelict, HEADING, header:ignore, 0, 0, 0
43, totw_modded:derelict_grass, HEADING, header:ignore, 0, 0, 0
44, totw_modded:desert, HEADING, header:ignore, 0, 0, 0
45, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
46, awesomedungeon:desert_temple_husk, HEADING, header:ignore, 0, 0, 0
47, phenomena:doorbox, HEADING, header:ignore, 0, 0, 0
48, dungeoncrawl:dungeon, HEADING, header:ignore, 0, 0, 0
49, totw_modded:end, HEADING, header:ignore, 0, 0, 0
50, awesomedungeonend:end_castle_evoker, HEADING, header:ignore, 0, 0, 0
51, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
52, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
53, awesomedungeonend:end_hardcastle, HEADING, header:ignore, 0, 0, 0
54, phenomena:end_house, HEADING, header:ignore, 0, 0, 0
55, awesomedungeonend:end_palace, HEADING, header:ignore, 0, 0, 0
56, awesomedungeonend:end_pill, HEADING, header:ignore, 0, 0, 0
57, awesomedungeonend:end_pyramid, HEADING, header:ignore, 0, 0, 0
58, totw_modded:everbright, HEADING, header:ignore, 0, 0, 0
59, totw_modded:everdawn, HEADING, header:ignore, 0, 0, 0
60, towns_and_towers:exclusives/pillager_outpost_classic, HEADING, header:ignore, 0, 0, 0
61, towns_and_towers:exclusives/pillager_outpost_classic, MONSTER, minecraft:pillager, 10, 1, 2
62, towns_and_towers:exclusives/pillager_outpost_iberian, HEADING, header:ignore, 0, 0, 0
63, towns_and_towers:exclusives/pillager_outpost_iberian, MONSTER, minecraft:pillager, 10, 1, 2
64, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
65, towns_and_towers:exclusives/pillager_outpost_mediterranean, MONSTER, minecraft:pillager, 10, 1, 2
66, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
67, towns_and_towers:exclusives/pillager_outpost_oriental, MONSTER, minecraft:pillager, 10, 1, 2
68, towns_and_towers:exclusives/pillager_outpost_rustic, HEADING, header:ignore, 0, 0, 0
69, towns_and_towers:exclusives/pillager_outpost_rustic, MONSTER, minecraft:pillager, 10, 1, 2
70, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
71, towns_and_towers:exclusives/pillager_outpost_swedish, MONSTER, minecraft:pillager, 10, 1, 2
72, towns_and_towers:exclusives/pillager_outpost_tudor, HEADING, header:ignore, 0, 0, 0
73, towns_and_towers:exclusives/pillager_outpost_tudor, MONSTER, minecraft:pillager, 10, 1, 2
74, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
75, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
76, towns_and_towers:exclusives/village_mediterranean, HEADING, header:ignore, 0, 0, 0
77, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
78, towns_and_towers:exclusives/village_rustic, HEADING, header:ignore, 0, 0, 0
79, towns_and_towers:exclusives/village_swedish, HEADING, header:ignore, 0, 0, 0
80, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
81, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
82, imst:farm/crimson_fungus, HEADING, header:ignore, 0, 0, 0
83, imst:farm/warped_fungus, HEADING, header:ignore, 0, 0, 0
84, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
85, simply_houses:forest_chapel, HEADING, header:ignore, 0, 0, 0
86, simply_houses:forest_fort, HEADING, header:ignore, 0, 0, 0
87, simply_houses:forest_house, HEADING, header:ignore, 0, 0, 0
88, simply_houses:forest_stonemason, HEADING, header:ignore, 0, 0, 0
89, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
90, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
91, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
92, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
93, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
94, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
95, stellarity:fossil, HEADING, header:ignore, 0, 0, 0
96, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
97, awesomedungeonocean:frigate_large, HEADING, header:ignore, 0, 0, 0
98, awesomedungeonocean:frigate_medium, HEADING, header:ignore, 0, 0, 0
99, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
100, graveyard:giant_mushroom, HEADING, header:ignore, 0, 0, 0
101, totw_modded:glacio, HEADING, header:ignore, 0, 0, 0
102, dungeons_arise:greenwood_pub, HEADING, header:ignore, 0, 0, 0
103, ars_nouveau:guardian_wilden_den, HEADING, header:ignore, 0, 0, 0
104, ars_nouveau:guardian_wilden_den, MONSTER, ars_nouveau:wilden_guardian, 10, 1, 3
